Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
ICUI,ICU MEDICAL INC,Health Care,Equity,89599465.72,0.12,89599465.72,580082,154.46,United States,NASDAQ,USD,1,USD,-
WDFC,WD-40,Consumer Staples,Equity,89417337.6,0.12,89417337.6,365745,244.48,United States,NASDAQ,USD,1,USD,-
PTON,PELOTON INTERACTIVE CLASS A INC,Consumer Discretionary,Equity,89328919.83,0.12,89328919.83,9513197,9.39,United States,NASDAQ,USD,1,USD,-
NWE,NORTHWESTERN ENERGY GROUP INC,Utilities,Equity,89319257,0.12,89319257,1685269,53,United States,NASDAQ,USD,1,USD,-
FRSH,FRESHWORKS INC CLASS A,Information Technology,Equity,89179996.2,0.12,89179996.2,5594730,15.94,United States,NASDAQ,USD,1,USD,-
ABM,ABM INDUSTRIES INC,Industrials,Equity,89097057.28,0.12,89097057.28,1745632,51.04,United States,New York Stock Exchange Inc.,USD,1,USD,-
NVCR,NOVOCURE LTD,Health Care,Equity,88406697.9,0.12,88406697.9,2879697,30.7,United States,NASDAQ,USD,1,USD,-
CARG,CARGURUS INC CLASS A,Communication,Equity,87818422.23,0.12,87818422.23,2368989,37.07,United States,NASDAQ,USD,1,USD,-
SG,SWEETGREEN INC CLASS A,Consumer Discretionary,Equity,87690653.7,0.12,87690653.7,2709010,32.37,United States,New York Stock Exchange Inc.,USD,1,USD,-
ACVA,ACV AUCTIONS INC CLASS A,Industrials,Equity,87585576.6,0.12,87585576.6,4017687,21.8,United States,NASDAQ,USD,1,USD,-
ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials,Equity,87310871.82,0.12,87310871.82,2256678,38.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
WD,WALKER & DUNLOP INC,Financials,Equity,87043167.28,0.12,87043167.28,899578,96.76,United States,New York Stock Exchange Inc.,USD,1,USD,-
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials,Equity,86499568.8,0.12,86499568.8,4829680,17.91,United States,New York Stock Exchange Inc.,USD,1,USD,-
AXSM,AXSOME THERAPEUTICS INC,Health Care,Equity,86033190.3,0.12,86033190.3,992309,86.7,United States,NASDAQ,USD,1,USD,-
PCH,POTLATCHDELTIC CORP,Real Estate,Equity,85711504.32,0.12,85711504.32,2204514,38.88,United States,NASDAQ,USD,1,USD,-
HASI,HA SUSTAINABLE INFRASTRUCTURE CAPI,Financials,Equity,85697921.48,0.12,85697921.48,3129946,27.38,United States,New York Stock Exchange Inc.,USD,1,USD,-
ZETA,ZETA GLOBAL HOLDINGS CORP CLASS A,Information Technology,Equity,85470620.49,0.12,85470620.49,4837047,17.67,United States,New York Stock Exchange Inc.,USD,1,USD,-
BHVN,BIOHAVEN LTD,Health Care,Equity,85115025.06,0.12,85115025.06,2321741,36.66,United States,New York Stock Exchange Inc.,USD,1,USD,-
RIOT,RIOT PLATFORMS INC,Information Technology,Equity,84911784.23,0.12,84911784.23,7726277,10.99,United States,NASDAQ,USD,1,USD,-
PTEN,PATTERSON UTI ENERGY INC,Energy,Equity,84203488.15,0.12,84203488.15,10726559,7.85,United States,NASDAQ,USD,1,USD,-
AUB,ATLANTIC UNION BANKSHARES CORP,Financials,Equity,84061181.12,0.12,84061181.12,2207489,38.08,United States,New York Stock Exchange Inc.,USD,1,USD,-
OTTR,OTTER TAIL CORP,Utilities,Equity,83706005.88,0.11,83706005.88,1119663,74.76,United States,NASDAQ,USD,1,USD,-
VCYT,VERACYTE INC,Health Care,Equity,83373813.32,0.11,83373813.32,2078111,40.12,United States,NASDAQ,USD,1,USD,-
TGNA,TEGNA INC,Communication,Equity,83315290.16,0.11,83315290.16,4532932,18.38,United States,New York Stock Exchange Inc.,USD,1,USD,-
FULT,FULTON FINANCIAL CORP,Financials,Equity,83172633.6,0.11,83172633.6,4232704,19.65,United States,NASDAQ,USD,1,USD,-
ASTS,AST SPACEMOBILE INC CLASS A,Communication,Equity,83031023.4,0.11,83031023.4,3622645,22.92,United States,NASDAQ,USD,1,USD,-
BNL,BROADSTONE NET LEASE INC,Real Estate,Equity,82949767.5,0.11,82949767.5,5203875,15.94,United States,New York Stock Exchange Inc.,USD,1,USD,-
SYNA,SYNAPTICS INC,Information Technology,Equity,82571844.64,0.11,82571844.64,1069168,77.23,United States,NASDAQ,USD,1,USD,-
AGYS,AGILYSYS INC,Information Technology,Equity,82332446.38,0.11,82332446.38,607261,135.58,United States,NASDAQ,USD,1,USD,-
RYTM,RHYTHM PHARMACEUTICALS INC,Health Care,Equity,82315281.63,0.11,82315281.63,1480757,55.59,United States,NASDAQ,USD,1,USD,-
BLKB,BLACKBAUD INC,Information Technology,Equity,82270892.1,0.11,82270892.1,1097970,74.93,United States,NASDAQ,USD,1,USD,-
SHOO,STEVEN MADDEN LTD,Consumer Discretionary,Equity,82243083.99,0.11,82243083.99,1942903,42.33,United States,NASDAQ,USD,1,USD,-
TEX,TEREX CORP,Industrials,Equity,82209595.7,0.11,82209595.7,1817590,45.23,United States,New York Stock Exchange Inc.,USD,1,USD,-
